airport,date,pax_mvmt_total,pax_intl_asean,pax_intl_nonasean,pax_domestic,aircraft_mvmt_total,aircraft_mvmt_intl,aircraft_mvmt_domestic
KLIA,2021-02-28,131,23,48,60,3777,2637,1140
MASB,2021-02-28,187.2,2,0.2,185,7639,765,6874
KLIA,2021-01-31,261,27,66,168,5002,3025,1977
MASB,2021-01-31,492.4,2,0.4,490,12222,898,11324
KLIA,2020-12-31,114,16,50,48,5845,2940,2905
MASB,2020-12-31,199,7,2,190,15472,873,14599
KLIA,2020-11-30,113,23,52,38,3570,2635,935
MASB,2020-11-30,197.3,2,0.3,195,9560,832,8728
KLIA,2020-10-31,212,26,61,125,4686,2770,1916
MASB,2020-10-31,465.3,2,0.3,463,12798,786,12012
KLIA,2020-09-30,580,26,60,494,7370,2399,4971
MASB,2020-09-30,1132.6,1,0.6,1131,19640,856,18784
KLIA,2020-08-31,497,24,57,416,6298,2368,3930
MASB,2020-08-31,938.5,2,0.5,936,17911,864,17047
KLIA,2020-07-31,447,28,61,358,5814,2276,3538
MASB,2020-07-31,859.3,2,0.3,857,16835,870,15965
KLIA,2020-06-30,140,15,31,94,3019,1882,1137
MASB,2020-06-30,289.1,2,0.1,287,8831,811,8020
KLIA,2020-05-31,89,9,24,56,2728,1826,902
MASB,2020-05-31,148.2,0.1,0.1,148,7525,742,6783
KLIA,2020-04-30,57,11,29,17,2232,1849,383
MASB,2020-04-30,81.23,0.03,0.2,81,5454,750,4704
KLIA,2020-03-31,1748,554,571,623,16935,11157,5778
MASB,2020-03-31,1489,123,16,1350,25282,2795,22487
KLIA,2020-02-29,3647,1238,1347,1062,30132,20294,9838
MASB,2020-02-29,2595,263,99,2233,37435,5071,32364
KLIA,2020-01-31,5312,1819,2093,1400,35317,24068,11249
MASB,2020-01-31,3615,426,319,2870,43697,6919,36778
KLIA,2019-12-31,5931,2003,2333,1595,36160,24575,11585
MASB,2019-12-31,4014,489,305,3220,43899,6620,37279
KLIA,2019-11-30,5135,1788,1946,1401,33825,22993,10832
MASB,2019-11-30,3503,409,241,2853,40950,6138,34812
KLIA,2019-10-31,5073,1755,1915,1403,34624,23474,11150
MASB,2019-10-31,3497,398,242,2857,42167,6196,35971
KLIA,2019-09-30,4914,1716,1794,1404,33619,22761,10858
MASB,2019-09-30,3439,388,245,2806,40431,6127,34304
