Date,Total,Wholesale,Retail,Motor
2018-01-31,117.2,119.1,121.4,99.4
2018-02-28,117.8,119.6,121.9,100.0
2018-03-31,117.8,120.2,122.6,95.5
2018-04-30,119.3,120.9,123.6,102.0
2018-05-31,120.4,121.9,126.3,100.4
2018-06-30,123.3,122.4,131.3,104.8
2018-07-31,124.8,122.7,133.7,109.5
2018-08-31,126.8,124.5,135.6,106.6
2018-09-30,122.2,125.9,128.9,94.1
2018-10-31,124.8,125.6,132.7,101.0
2018-11-30,125.8,125.6,134.4,101.5
2018-12-31,125.4,125.2,135.1,97.4
2019-01-31,126.7,125.5,135.5,104.6
2019-02-28,125.9,125.3,134.9,103.6
2019-03-31,124.2,124.4,132.9,101.7
2019-04-30,126.3,125.6,134.7,105.7
2019-05-31,128.4,126.7,138.4,107.8
2019-06-30,130.5,128.6,142.3,104.6
2019-07-31,131.7,129.8,141.9,106.4
2019-08-31,132.8,130.6,142.4,106.2
2019-09-30,130.7,131.2,141.4,101.2
2019-10-31,131.3,130.7,141.8,104.8
2019-11-30,132.6,131.5,143.3,104.9
2019-12-31,133.1,132.0,144.2,103.9
2020-01-31,130.7,129.4,143.1,100.9
2020-02-29,133.4,131.7,143.9,109.1
2020-03-31,118.9,123.6,127.0,90.5
2020-04-30,79.5,93.4,89.0,7.0
2020-05-31,100.0,99.7,117.5,56.7
2020-06-30,120.0,120.8,126.3,102.6
2020-07-31,127.1,125.7,135.0,104.6
2020-08-31,127.3,124.5,136.6,105.0
2020-09-30,130.3,125.5,140.3,115.3
2020-10-31,128.6,127.9,137.0,105.2
2020-11-30,128.8,128.7,136.3,103.6
2020-12-31,129.4,129.0,135.4,106.9
2021-01-31,127.0,129.1,138.2,89.3
2021-02-28,132.0,131.6,141.0,108.0
,,,,
