date,country,cases,cases_7ra
2020-11-01,Malaysia,957,848.5714285714286
2020-11-02,Malaysia,834,790.5714285714286
2020-11-03,Malaysia,1054,821.8571428571429
2020-11-04,Malaysia,1032,854.8571428571429
2020-11-05,Malaysia,1009,906.2857142857143
2020-11-06,Malaysia,1755,1042.857142857143
2020-11-07,Malaysia,1168,1115.5714285714287
2020-11-08,Malaysia,852,1100.5714285714287
2020-11-09,Malaysia,972,1120.2857142857142
2020-11-10,Malaysia,869,1093.857142857143
2020-11-11,Malaysia,822,1063.857142857143
2020-11-12,Malaysia,919,1051
2020-11-13,Malaysia,1304,986.5714285714286
2020-11-14,Malaysia,1114,978.8571428571429
2020-11-15,Malaysia,1208,1029.7142857142858
2020-11-16,Malaysia,1103,1048.4285714285713
2020-11-17,Malaysia,1210,1097.142857142857
2020-11-18,Malaysia,660,1074
2020-11-19,Malaysia,1290,1127
2020-11-20,Malaysia,958,1077.5714285714287
2020-11-21,Malaysia,1041,1067.142857142857
2020-11-22,Malaysia,1096,1051.142857142857
2020-11-23,Malaysia,1884,1162.7142857142858
2020-11-24,Malaysia,2188,1302.4285714285713
2020-11-25,Malaysia,970,1346.7142857142858
2020-11-26,Malaysia,935,1296
2020-11-27,Malaysia,1109,1317.5714285714287
2020-11-28,Malaysia,1315,1356.7142857142858
2020-11-29,Malaysia,1309,1387.142857142857
2020-11-30,Malaysia,1212,1291.142857142857
2020-12-01,Malaysia,1472,1188.857142857143
2020-12-02,Malaysia,851,1171.857142857143
2020-12-03,Malaysia,1075,1191.857142857143
2020-12-04,Malaysia,1141,1196.4285714285713
2020-12-05,Malaysia,1123,1169
2020-12-06,Malaysia,1335,1172.7142857142858
2020-12-07,Malaysia,1600,1228.142857142857
2020-12-08,Malaysia,1012,1162.4285714285713
2020-12-09,Malaysia,959,1177.857142857143
2020-12-10,Malaysia,2234,1343.4285714285713
2020-12-11,Malaysia,1810,1439
2020-12-12,Malaysia,1937,1555.2857142857142
2020-12-13,Malaysia,1229,1540.142857142857
2020-12-14,Malaysia,1371,1507.4285714285713
2020-12-15,Malaysia,1772,1616
2020-12-16,Malaysia,1295,1664
2020-12-17,Malaysia,1220,1519.142857142857
2020-12-18,Malaysia,1683,1501
2020-12-19,Malaysia,1153,1389
2020-12-20,Malaysia,1340,1404.857142857143
2020-12-21,Malaysia,2018,1497.2857142857142
2020-12-22,Malaysia,2062,1538.7142857142858
2020-12-23,Malaysia,1348,1546.2857142857142
2020-12-24,Malaysia,1581,1597.857142857143
2020-12-25,Malaysia,1247,1535.5714285714287
2020-12-26,Malaysia,2335,1704.4285714285713
2020-12-27,Malaysia,1196,1683.857142857143
2020-12-28,Malaysia,1594,1623.2857142857142
2020-12-29,Malaysia,1925,1603.7142857142858
2020-12-30,Malaysia,1870,1678.2857142857142
2020-12-31,Malaysia,2525,1813.142857142857
2021-01-01,Malaysia,2068,1930.4285714285713
2021-01-02,Malaysia,2295,1924.7142857142858
2021-01-03,Malaysia,1704,1997.2857142857142
2021-01-04,Malaysia,1741,2018.2857142857142
2021-01-05,Malaysia,2027,2032.857142857143
